F.Year,Year,Quarter,Month,Product,Amount,Transaction Type
2018-19, 2018,Q1, APRIL,CORRIANDER,3096912,Purchase
2018-19, 2018,Q1, MAY,CORRIANDER,2818298,Purchase
2018-19, 2018,Q1, JUNE,CORRIANDER,1483863,Purchase
2018-19, 2018,Q2, JULY,CORRIANDER,536844,Purchase
2018-19, 2018,Q2, AUGUST,CORRIANDER,2422053.5,Purchase
2018-19, 2018,Q2, SEPTEMBER,CORRIANDER,2905137,Purchase
2018-19, 2018,Q3, OCTOBER,CORRIANDER,2610870,Purchase
2018-19, 2018,Q3, NOVEMBER,CORRIANDER,1062095,Purchase
2018-19, 2018,Q3, DECEMBER,CORRIANDER,1321048,Purchase
2018-19, 2019,Q4, JANUARY,CORRIANDER,1099997,Purchase
2018-19, 2019,Q4, FEBRUARY,CORRIANDER,3567709,Purchase
2018-19, 2019,Q4, MARCH,CORRIANDER,3151960,Purchase
2018-19, 2018,Q1, APRIL,MAIZE,535622,Purchase
2018-19, 2018,Q3, OCTOBER,MAIZE,329235,Purchase
2018-19, 2019,Q4, JANUARY,MAIZE,1976615,Purchase
2018-19, 2019,Q4, FEBRUARY,MAIZE,5014789,Purchase
2018-19, 2019,Q4, MARCH,MAIZE,2236373,Purchase
2018-19, 2019,Q4, JANUARY,BAJRA,374000,Purchase
F.Year,Year,Quarter,Month,Product,Amount,Transaction Type
2018-19, 2018,Q1, APRIL,CORRIANDER,2490534,Sales
2018-19, 2018,Q1, MAY,CORRIANDER,1325425,Sales
2018-19, 2018,Q1, JUNE,CORRIANDER,1320003,Sales
2018-19, 2018,Q2, JULY,CORRIANDER,2635266,Sales
2018-19, 2018,Q2, AUGUST,CORRIANDER,2183525,Sales
2018-19, 2018,Q2, SEPTEMBER,CORRIANDER,2260410,Sales
2018-19, 2018,Q3, OCTOBER,CORRIANDER,3157325,Sales
2018-19, 2018,Q3, NOVEMBER,CORRIANDER,997190,Sales
2018-19, 2018,Q3, DECEMBER,CORRIANDER,1969456,Sales
2018-19, 2019,Q4, JANUARY,CORRIANDER,3130260,Sales
2018-19, 2019,Q4, FEBRUARY,CORRIANDER,4024275,Sales
2018-19, 2019,Q4, MARCH,CORRIANDER,1865060,Sales
2018-19, 2018,Q1, APRIL,MAIZE,1214445,Sales
2018-19, 2018,Q1, MAY,MAIZE,806750,Sales
2018-19, 2018,Q1, JUNE,MAIZE,255000,Sales
2018-19, 2018,Q3, OCTOBER,MAIZE,188650,Sales
2018-19, 2018,Q3, NOVEMBER,MAIZE,151500,Sales
2018-19, 2018,Q3, DECEMBER,MAIZE,19600,Sales
2018-19, 2019,Q4, JANUARY,MAIZE,1546965,Sales
2018-19, 2019,Q4, FEBRUARY,MAIZE,4572200,Sales
2018-19, 2019,Q4, MARCH,MAIZE,1090103,Sales
2018-19, 2018,Q1, JUNE,JOWAR,55500,Sales
2018-19, 2018,Q1, MAY,VARAGU,210000,Sales
2018-19, 2018,Q1, JUNE,VARAGU,25585,Sales
2018-19, 2018,Q1, APRIL,BAJRA,145000,Sales
2018-19, 2018,Q1, MAY,BAJRA,1038835,Sales
2018-19, 2018,Q1, JUNE,BAJRA,153000,Sales
2018-19, 2018,Q3, DECEMBER,BAJRA,19600,Sales
2018-19, 2019,Q4, JANUARY,BAJRA,144750,Sales
F.Year,Year,Quarter,Month,Product,Amount,Transaction Type
2019-20, 2019,Q1, APRIL,CHILLI,896385,Purchase
2019-20, 2019,Q1, MAY,CHILLI,791845,Purchase
2019-20, 2019,Q1, JUNE,CHILLI,986510,Purchase
2019-20, 2019,Q2, JULY,CHILLI,910165,Purchase
2019-20, 2019,Q2, AUGUST,CHILLI,1133750,Purchase
2019-20, 2019,Q2, SEPTEMBER,CHILLI,851400,Purchase
2019-20, 2019,Q3, OCTOBER,CHILLI,733250,Purchase
2019-20, 2019,Q3, NOVEMBER,CHILLI,797380,Purchase
2019-20, 2019,Q3, DECEMBER,CHILLI,757250,Purchase
2019-20, 2020,Q4, FEBRUARY,CHILLI,153000,Purchase
2019-20, 2020,Q4, MARCH,CHILLI,120000,Purchase
2019-20, 2019,Q1, APRIL,CORRIANDER,1443085,Purchase
2019-20, 2019,Q1, MAY,CORRIANDER,2792869,Purchase
2019-20, 2019,Q1, JUNE,CORRIANDER,1008067,Purchase
2019-20, 2019,Q2, JULY,CORRIANDER,2563163,Purchase
2019-20, 2019,Q2, AUGUST,CORRIANDER,1293333,Purchase
2019-20, 2019,Q2, SEPTEMBER,CORRIANDER,1479762,Purchase
2019-20, 2019,Q3, OCTOBER,CORRIANDER,1215000,Purchase
2019-20, 2019,Q3, NOVEMBER,CORRIANDER,1408036,Purchase
2019-20, 2019,Q3, DECEMBER,CORRIANDER,1498750,Purchase
2019-20, 2020,Q4, JANUARY,CORRIANDER,1154695,Purchase
2019-20, 2020,Q4, FEBRUARY,CORRIANDER,1299375,Purchase
2019-20, 2020,Q4, MARCH,CORRIANDER,1232000,Purchase
2019-20, 2019,Q2, JULY,NEEM SEED,278951,Purchase
2019-20, 2019,Q2, AUGUST,NEEM SEED,4616184,Purchase
2019-20, 2019,Q2, SEPTEMBER,NEEM SEED,28320,Purchase
2019-20, 2019,Q1, APRIL,CASTER SEED,1579023,Purchase
2019-20, 2019,Q1, MAY,CASTER SEED,637900,Purchase
2019-20, 2019,Q1, JUNE,CASTER SEED,211758,Purchase
